Domain,Record,Record Type,Forward Type,Stealth-forward Title,Email-forward alias,TTL,mx-distance,Details
k1apps.dev,@,MX,,,,300,1,smtp.google.com
k1apps.dev,@,A,,,,300,,185.199.108.153
k1apps.dev,@,A,,,,300,,185.199.109.153
k1apps.dev,@,A,,,,300,,185.199.110.153
k1apps.dev,@,A,,,,300,,185.199.111.153
k1apps.dev,@,AAAA,,,,300,,2606:50c0:8000::153
k1apps.dev,@,AAAA,,,,300,,2606:50c0:8001::153
k1apps.dev,@,AAAA,,,,300,,2606:50c0:8002::153
k1apps.dev,@,AAAA,,,,300,,2606:50c0:8003::153
k1apps.dev,@,TXT,,,,300,,google-site-verification=tGGXUT8N2zYndCu2tKAgLc0a-FOLExcJ0-7Sme3drIw
k1apps.dev,@,TXT,,,,300,,v=spf1 -all
k1apps.dev,_github-pages-challenge-kjm520,TXT,,,,300,,5ed836a54c8a4567799f11b82d3dad
k1apps.dev,www,CNAME,,,,300,,kjm520.github.io
k1apps.dev,feedback,CNAME,,,,300,,ghs.googlehosted.com
k1apps.dev,_dmarc,TXT,,,,300,,v=DMARC1; p=reject; sp=reject; rua=mailto:kevin@k1freight.com
truckload.io,@,A,,,,300,,216.239.34.21
truckload.io,@,A,,,,300,,216.239.36.21
truckload.io,@,A,,,,300,,216.239.38.21
truckload.io,@,A,,,,300,,216.239.32.21
truckload.io,@,AAAA,,,,300,,2001:4860:4802:32::15
truckload.io,@,AAAA,,,,300,,2001:4860:4802:34::15
truckload.io,@,AAAA,,,,300,,2001:4860:4802:36::15
truckload.io,@,AAAA,,,,300,,2001:4860:4802:38::15
truckload.io,@,MX,,,,300,1,smtp.google.com
truckload.io,@,TXT,,,,300,,google-site-verification=s_BMMWlpgBRNVRb9G6EQpnF558gOwgOnle_Jy0oh7fM
truckload.io,@,TXT,,,,300,,v=spf1 -all
truckload.io,www,CNAME,,,,300,,ghs.googlehosted.com
truckload.io,_dmarc,TXT,,,,300,,v=DMARC1; p=reject; sp=reject; rua=mailto:kevin@k1freight.com
trkld.io,@,A,,,,300,,216.239.32.21
trkld.io,@,A,,,,300,,216.239.34.21
trkld.io,@,A,,,,300,,216.239.36.21
trkld.io,@,A,,,,300,,216.239.38.21
trkld.io,@,AAAA,,,,300,,2001:4860:4802:32::15
trkld.io,@,AAAA,,,,300,,2001:4860:4802:34::15
trkld.io,@,AAAA,,,,300,,2001:4860:4802:36::15
trkld.io,@,AAAA,,,,300,,2001:4860:4802:38::15
trkld.io,@,TXT,,,,300,,google-site-verification=tcu7SCk4keDb5H3y_s0COUOXTKUOTO_hmlHSzoY1QA8
k1freight.com,@,MX,,,,300,1,smtp.google.com
k1freight.com,@,A,,,,300,,216.239.32.21
k1freight.com,@,A,,,,300,,216.239.34.21
k1freight.com,@,TXT,,,,300,,v=spf1 include:_spf.google.com ~all
k1freight.com,@,TXT,,,,300,,google-site-verification=tCW4TtJHikozsFL6Y7C0cq-qBDjtx-hpdgGY_yiXPlU
k1freight.com,@,A,,,,300,,216.239.36.21
k1freight.com,@,A,,,,300,,216.239.38.21
k1freight.com,@,AAAA,,,,300,,2001:4860:4802:32::15
k1freight.com,@,AAAA,,,,300,,2001:4860:4802:34::15
k1freight.com,@,AAAA,,,,300,,2001:4860:4802:36::15
k1freight.com,@,AAAA,,,,300,,2001:4860:4802:38::15
k1freight.com,www,CNAME,,,,300,,k1freight.com
k1freight.com,_dmarc,TXT,,,,300,,v=DMARC1; p=reject; pct=100; adkim=s; aspf=s; rua=mailto:kevin@k1freight.com
k1freight.com,google._domainkey,TXT,,,,300,,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAkWu1+ncTT0ymP3hfG0MTQ3s7sQQRlP0JOE7fGeAABL+FzQV8focdIPktKtB0KkKjvhu4EYQxyZsjzxKkHkP7SymzWwi+ztiKfYH3vVHlmf1V+mYgzTBC+iyaiXiEH19YBZV+xcDCBNW4RiXUYam9U7OP+oFPqsPrHRAwHpnB/RHcXLde3GGbgr3t/VQmdAoQNwlPHu//xHHjrPu4P9ctWmkrR8Qb2i/y2+CYPePBsgkPrkDA9rFsrg0FEwZhPTlLoN1deLQmE1j6gNMuwggUGB064mfPM+h3h/UC2buWi+hUUWNMSADiFxujUm+C/j/T9ETdNmXlDpvD2hhDwdoOAQIDAQAB
k1freight.com,mail,CNAME,,,,300,,ghs.googlehosted.com
